                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90118,                 1.0652,                 1.3793,                 0.9671,                0.80308,                 0.9447,                0.80422,                0.94264,                0.47928,                 1.1867,                      0,                      0,                      0
                      2,                0.96175,                 1.6221,                 1.4916,                0.86217,                0.93991,                0.97433,                0.81366,                0.94305,                0.47359,                 1.1813,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                  0.643,                0.64185,                 1.0017,                0.87877,                0.93292,                0.97432,                0.81405,                0.93884,                0.45748,                 1.1734,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                0.82691,                 1.6686,                 1.4856,                0.87002,                0.94854,                 0.9762,                0.81447,                0.93583,                0.45508,                 1.1722,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.98274,                 1.5385,                   1.57,                0.87616,                0.94332,                0.97618,                0.81509,                0.93126,                0.44999,                 1.1723,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.51252,                0.63588,                 1.0024,                0.87653,                0.94448,                0.97499,                0.83358,                0.93853,                0.44537,                 1.1729,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                0.93582,                 1.4346,                 1.4418,                0.87232,                0.94648,                0.97505,                 0.8275,                0.94851,                0.44742,                 1.1742,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                0.80251,                 2.2704,                 1.5422,                0.87269,                0.94407,                  0.975,                0.82747,                0.93967,                0.44677,                 1.1732,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.61162,                 1.0983,                 1.3191,                0.87359,                0.93742,                0.97508,                0.81886,                0.95158,                0.44355,                 1.1725,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.75853,                0.62462,                 1.3846,                0.88421,                0.92065,                0.97505,                0.81722,                 0.9551,                0.44305,                 1.1723,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0366,                 0.9736,                 1.5564,                0.88799,                0.91319,                 0.9741,                0.80807,                0.95923,                0.45542,                 1.1729,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.61437,                0.62554,                 1.1514,                 0.8857,                0.91187,                0.97222,                0.80656,                0.98237,                0.46185,                 1.1794,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 0.8217,                 0.9856,                 1.3831,                0.88714,                0.90837,                0.97319,                0.80156,                0.99719,                0.47734,                  1.184,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                0.40771,                0.59061,                  1.011,                0.88461,                0.90828,                0.97319,                0.79589,                  1.021,                0.49068,                 1.1919,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.73471,                 1.1039,                 1.1694,                0.87891,                 0.9106,                0.97321,                0.79562,                 1.0215,                0.50667,                 1.1951,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.78568,                0.44601,                 1.2435,                0.83244,                0.90735,                0.97229,                0.79725,                 1.0128,                0.51669,                 1.1945,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.58359,                0.32422,                 1.1795,                0.94165,                0.79152,                0.94266,                0.78745,                 1.0111,                0.54757,                 1.1961,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.38465,                0.36281,                 1.0482,                0.94165,                0.79152,                0.94266,                0.78745,                 1.0111,                0.54757,                 1.1961,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.52088,                0.35772,                 1.0093,                0.94339,                 0.7897,                0.92707,                0.78723,                 1.0105,                0.56858,                 1.1974,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 0.6225,                0.34706,                  1.028,                0.94339,                 0.7897,                0.92707,                0.78723,                 1.0105,                0.56858,                 1.1974,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 0.4872,                0.48345,                  1.046,                0.93604,                0.79061,                0.92437,                0.78573,                 1.0098,                0.59283,                 1.2017,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 0.4905,                0.37464,                0.92976,                0.93604,                0.79061,                0.92437,                0.78573,                 1.0098,                0.59283,                 1.2017,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.67835,                0.50468,                 1.2619,                0.91563,                 0.7943,                 0.9206,                0.77872,                   1.01,                0.61691,                 1.2049,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 0.5241,                0.29711,                 1.0255,                0.91563,                 0.7943,                 0.9206,                0.77872,                   1.01,                0.61691,                 1.2049,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.34306,                0.24053,                0.96693,                0.90405,                0.79617,                0.92098,                0.76696,                 1.0163,                0.66091,                   1.21,             2.1774e-05,             2.1774e-05,             2.1774e-05
